column,unique_count,top_value,top_count
NAME_CONTRACT_TYPE,2,Cash loans,278232
CODE_GENDER,2,F,202448
FLAG_OWN_CAR,2,N,202924
FLAG_OWN_REALTY,2,Y,213312
NAME_TYPE_SUITE,7,Unaccompanied,248526
NAME_INCOME_TYPE,8,Working,158774
NAME_EDUCATION_TYPE,5,Secondary / secondary special,218391
NAME_FAMILY_STATUS,6,Married,196432
NAME_HOUSING_TYPE,6,House / apartment,272868
OCCUPATION_TYPE,18,Laborers,55186
WEEKDAY_APPR_PROCESS_START,7,TUESDAY,53901
ORGANIZATION_TYPE,58,Business Entity Type 3,67992
FONDKAPREMONT_MODE,4,reg oper account,73830
HOUSETYPE_MODE,3,block of flats,150503
WALLSMATERIAL_MODE,7,Panel,66040
EMERGENCYSTATE_MODE,2,No,159428
