column,feature_family,formula,source_columns,business_meaning,created,fit_scope
age_years,age_employment,-DAYS_BIRTH / 365.25,DAYS_BIRTH,Applicant age in years.,True,formula uses row-level application fields; no validation/test aggregate statistics
employment_years,age_employment,"max(-DAYS_EMPLOYED / 365.25, 0)",DAYS_EMPLOYED,Applicant employment tenure in years.,True,formula uses row-level application fields; no validation/test aggregate statistics
annuity_credit_ratio,amount_ratio,AMT_ANNUITY / AMT_CREDIT,AMT_ANNUITY; AMT_CREDIT,Loan annuity pressure relative to approved credit.,True,formula uses row-level application fields; no validation/test aggregate statistics
income_per_person,amount_ratio,AMT_INCOME_TOTAL / CNT_FAM_MEMBERS,AMT_INCOME_TOTAL; CNT_FAM_MEMBERS,Household income available per family member.,True,formula uses row-level application fields; no validation/test aggregate statistics
credit_per_person,amount_ratio,AMT_CREDIT / CNT_FAM_MEMBERS,AMT_CREDIT; CNT_FAM_MEMBERS,Approved credit amount per family member.,True,formula uses row-level application fields; no validation/test aggregate statistics
children_ratio,family_structure,CNT_CHILDREN / CNT_FAM_MEMBERS,CNT_CHILDREN; CNT_FAM_MEMBERS,Share of children in the applicant's family size.,True,formula uses row-level application fields; no validation/test aggregate statistics
ext_source_mean,external_score,"mean(EXT_SOURCE_1, EXT_SOURCE_2, EXT_SOURCE_3)",EXT_SOURCE_1; EXT_SOURCE_2; EXT_SOURCE_3,Average external risk score.,True,formula uses row-level application fields; no validation/test aggregate statistics
ext_source_min,external_score,"min(EXT_SOURCE_1, EXT_SOURCE_2, EXT_SOURCE_3)",EXT_SOURCE_1; EXT_SOURCE_2; EXT_SOURCE_3,Lowest external risk score.,True,formula uses row-level application fields; no validation/test aggregate statistics
ext_source_max,external_score,"max(EXT_SOURCE_1, EXT_SOURCE_2, EXT_SOURCE_3)",EXT_SOURCE_1; EXT_SOURCE_2; EXT_SOURCE_3,Highest external risk score.,True,formula uses row-level application fields; no validation/test aggregate statistics
ext_source_std,external_score,"std(EXT_SOURCE_1, EXT_SOURCE_2, EXT_SOURCE_3)",EXT_SOURCE_1; EXT_SOURCE_2; EXT_SOURCE_3,Dispersion among external risk scores.,True,formula uses row-level application fields; no validation/test aggregate statistics
ext_source_count,external_score,"count_non_missing(EXT_SOURCE_1, EXT_SOURCE_2, EXT_SOURCE_3)",EXT_SOURCE_1; EXT_SOURCE_2; EXT_SOURCE_3,Number of external score fields available after preprocessing.,True,formula uses row-level application fields; no validation/test aggregate statistics
document_flag_sum,application_flags,sum(FLAG_DOCUMENT_*),FLAG_DOCUMENT_*,Number of submitted document flags.,True,formula uses row-level application fields; no validation/test aggregate statistics
contact_flag_sum,application_flags,sum(contact availability flags),FLAG_MOBIL; FLAG_EMP_PHONE; FLAG_WORK_PHONE; FLAG_CONT_MOBILE; FLAG_PHONE; FLAG_EMAIL,Number of available contact channels.,True,formula uses row-level application fields; no validation/test aggregate statistics
bureau_request_total,bureau_request,sum(AMT_REQ_CREDIT_BUREAU_*),AMT_REQ_CREDIT_BUREAU_*,Total recent bureau enquiry count across recorded windows.,True,formula uses row-level application fields; no validation/test aggregate statistics
log_AMT_INCOME_TOTAL,log_amount,"log1p(max(AMT_INCOME_TOTAL, 0))",AMT_INCOME_TOTAL,Log-transformed applicant income to reduce positive skew.,True,formula uses row-level application fields; no validation/test aggregate statistics
log_AMT_CREDIT,log_amount,"log1p(max(AMT_CREDIT, 0))",AMT_CREDIT,Log-transformed credit amount to reduce positive skew.,True,formula uses row-level application fields; no validation/test aggregate statistics
log_AMT_ANNUITY,log_amount,"log1p(max(AMT_ANNUITY, 0))",AMT_ANNUITY,Log-transformed loan annuity to reduce positive skew.,True,formula uses row-level application fields; no validation/test aggregate statistics
log_AMT_GOODS_PRICE,log_amount,"log1p(max(AMT_GOODS_PRICE, 0))",AMT_GOODS_PRICE,Log-transformed goods price to reduce positive skew.,True,formula uses row-level application fields; no validation/test aggregate statistics
