source_column,encoded_feature_name
NAME_CONTRACT_TYPE,NAME_CONTRACT_TYPE_Cash loans
NAME_CONTRACT_TYPE,NAME_CONTRACT_TYPE_Revolving loans
CODE_GENDER,CODE_GENDER_F
CODE_GENDER,CODE_GENDER_M
CODE_GENDER,CODE_GENDER_infrequent_sklearn
FLAG_OWN_CAR,FLAG_OWN_CAR_N
FLAG_OWN_CAR,FLAG_OWN_CAR_Y
FLAG_OWN_REALTY,FLAG_OWN_REALTY_N
FLAG_OWN_REALTY,FLAG_OWN_REALTY_Y
NAME_TYPE_SUITE,NAME_TYPE_SUITE_Children
NAME_TYPE_SUITE,NAME_TYPE_SUITE_Family
NAME_TYPE_SUITE,NAME_TYPE_SUITE_Other_A
NAME_TYPE_SUITE,NAME_TYPE_SUITE_Other_B
NAME_TYPE_SUITE,"NAME_TYPE_SUITE_Spouse, partner"
NAME_TYPE_SUITE,NAME_TYPE_SUITE_Unaccompanied
NAME_TYPE_SUITE,NAME_TYPE_SUITE___MISSING__
NAME_TYPE_SUITE,NAME_TYPE_SUITE___RARE__
NAME_INCOME_TYPE,NAME_INCOME_TYPE_Commercial associate
NAME_INCOME_TYPE,NAME_INCOME_TYPE_Pensioner
NAME_INCOME_TYPE,NAME_INCOME_TYPE_State servant
NAME_INCOME_TYPE,NAME_INCOME_TYPE_Working
NAME_INCOME_TYPE,NAME_INCOME_TYPE_infrequent_sklearn
NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE_Higher education
NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE_Incomplete higher
NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE_Lower secondary
NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE_Secondary / secondary special
NAME_EDUCATION_TYPE,NAME_EDUCATION_TYPE___RARE__
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_Civil marriage
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_Married
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_Separated
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_Single / not married
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_Widow
NAME_FAMILY_STATUS,NAME_FAMILY_STATUS_infrequent_sklearn
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_Co-op apartment
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_House / apartment
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_Municipal apartment
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_Office apartment
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_Rented apartment
NAME_HOUSING_TYPE,NAME_HOUSING_TYPE_With parents
OCCUPATION_TYPE,OCCUPATION_TYPE_Accountants
OCCUPATION_TYPE,OCCUPATION_TYPE_Cleaning staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Cooking staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Core staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Drivers
OCCUPATION_TYPE,OCCUPATION_TYPE_HR staff
OCCUPATION_TYPE,OCCUPATION_TYPE_High skill tech staff
OCCUPATION_TYPE,OCCUPATION_TYPE_IT staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Laborers
OCCUPATION_TYPE,OCCUPATION_TYPE_Low-skill Laborers
OCCUPATION_TYPE,OCCUPATION_TYPE_Managers
OCCUPATION_TYPE,OCCUPATION_TYPE_Medicine staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Private service staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Realty agents
OCCUPATION_TYPE,OCCUPATION_TYPE_Sales staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Secretaries
OCCUPATION_TYPE,OCCUPATION_TYPE_Security staff
OCCUPATION_TYPE,OCCUPATION_TYPE_Waiters/barmen staff
OCCUPATION_TYPE,OCCUPATION_TYPE___MISSING__
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_FRIDAY
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_MONDAY
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_SATURDAY
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_SUNDAY
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_THURSDAY
WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START_TUESDAY
