column,role,dtype,train_missing_count,full_missing_count,train_unique_count,selected_for_feature_matrix,action,reason
SK_ID_CURR,id,int64,0,0,215257,False,exclude,Identifier; use only for tracing and joins.
TARGET,target,int64,0,0,2,False,exclude,Label column; use only as y.
NAME_CONTRACT_TYPE,categorical_feature,str,0,0,2,True,encode_later,Use OneHotEncoder fitted on train split.
CODE_GENDER,categorical_feature,str,0,0,3,True,encode_later,Use OneHotEncoder fitted on train split.
FLAG_OWN_CAR,categorical_feature,str,0,0,2,True,encode_later,Use OneHotEncoder fitted on train split.
FLAG_OWN_REALTY,categorical_feature,str,0,0,2,True,encode_later,Use OneHotEncoder fitted on train split.
CNT_CHILDREN,numeric_feature,int64,0,0,14,True,keep,Candidate feature after leakage and stability review.
AMT_INCOME_TOTAL,numeric_feature,float64,0,0,1969,True,keep,Candidate feature after leakage and stability review.
AMT_CREDIT,numeric_feature,float64,0,0,5092,True,keep,Candidate feature after leakage and stability review.
AMT_ANNUITY,numeric_feature,float64,0,0,12836,True,keep,Candidate feature after leakage and stability review.
AMT_GOODS_PRICE,numeric_feature,float64,0,0,834,True,keep,Candidate feature after leakage and stability review.
NAME_TYPE_SUITE,categorical_feature,str,0,0,8,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_INCOME_TYPE,categorical_feature,str,0,0,5,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_EDUCATION_TYPE,categorical_feature,str,0,0,5,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_FAMILY_STATUS,categorical_feature,str,0,0,6,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_HOUSING_TYPE,categorical_feature,str,0,0,6,True,encode_later,Use OneHotEncoder fitted on train split.
REGION_POPULATION_RELATIVE,numeric_feature,float64,0,0,81,True,keep,Candidate feature after leakage and stability review.
DAYS_BIRTH,numeric_feature,int64,0,0,17379,True,keep,Candidate feature after leakage and stability review.
DAYS_EMPLOYED,numeric_feature,float64,0,0,11815,True,keep,Candidate feature after leakage and stability review.
DAYS_REGISTRATION,numeric_feature,float64,0,0,15230,True,keep,Candidate feature after leakage and stability review.
DAYS_ID_PUBLISH,numeric_feature,int64,0,0,6125,True,keep,Candidate feature after leakage and stability review.
OWN_CAR_AGE,numeric_feature,float64,0,0,58,True,keep,Candidate feature after leakage and stability review.
FLAG_MOBIL,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
FLAG_EMP_PHONE,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
FLAG_WORK_PHONE,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
FLAG_CONT_MOBILE,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
FLAG_PHONE,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
FLAG_EMAIL,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
OCCUPATION_TYPE,categorical_feature,str,0,0,19,True,encode_later,Use OneHotEncoder fitted on train split.
CNT_FAM_MEMBERS,numeric_feature,float64,0,0,15,True,keep,Candidate feature after leakage and stability review.
REGION_RATING_CLIENT,numeric_feature,int64,0,0,3,True,keep,Candidate feature after leakage and stability review.
REGION_RATING_CLIENT_W_CITY,numeric_feature,int64,0,0,3,True,keep,Candidate feature after leakage and stability review.
WEEKDAY_APPR_PROCESS_START,categorical_feature,str,0,0,7,True,encode_later,Use OneHotEncoder fitted on train split.
HOUR_APPR_PROCESS_START,numeric_feature,int64,0,0,24,True,keep,Candidate feature after leakage and stability review.
REG_REGION_NOT_LIVE_REGION,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
REG_REGION_NOT_WORK_REGION,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
LIVE_REGION_NOT_WORK_REGION,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
REG_CITY_NOT_LIVE_CITY,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
REG_CITY_NOT_WORK_CITY,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
LIVE_CITY_NOT_WORK_CITY,numeric_feature,int64,0,0,2,True,keep,Candidate feature after leakage and stability review.
ORGANIZATION_TYPE,categorical_feature,str,0,0,49,True,encode_later,Use OneHotEncoder fitted on train split.
EXT_SOURCE_1,numeric_feature,float64,0,0,84234,True,keep,Candidate feature after leakage and stability review.
EXT_SOURCE_2,numeric_feature,float64,0,0,102429,True,keep,Candidate feature after leakage and stability review.
EXT_SOURCE_3,numeric_feature,float64,0,0,807,True,keep,Candidate feature after leakage and stability review.
APARTMENTS_AVG,numeric_feature,float64,0,0,2210,True,keep,Candidate feature after leakage and stability review.
BASEMENTAREA_AVG,numeric_feature,float64,0,0,3627,True,keep,Candidate feature after leakage and stability review.
YEARS_BEGINEXPLUATATION_AVG,numeric_feature,float64,0,0,260,True,keep,Candidate feature after leakage and stability review.
YEARS_BUILD_AVG,numeric_feature,float64,0,0,148,True,keep,Candidate feature after leakage and stability review.
COMMONAREA_AVG,numeric_feature,float64,0,0,2948,True,keep,Candidate feature after leakage and stability review.
ELEVATORS_AVG,numeric_feature,float64,0,0,241,True,keep,Candidate feature after leakage and stability review.
ENTRANCES_AVG,numeric_feature,float64,0,0,272,True,keep,Candidate feature after leakage and stability review.
FLOORSMAX_AVG,numeric_feature,float64,0,0,364,True,keep,Candidate feature after leakage and stability review.
FLOORSMIN_AVG,numeric_feature,float64,0,0,280,True,keep,Candidate feature after leakage and stability review.
LANDAREA_AVG,numeric_feature,float64,0,0,3333,True,keep,Candidate feature after leakage and stability review.
LIVINGAPARTMENTS_AVG,numeric_feature,float64,0,0,1761,True,keep,Candidate feature after leakage and stability review.
LIVINGAREA_AVG,numeric_feature,float64,0,0,4988,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAPARTMENTS_AVG,numeric_feature,float64,0,0,349,True,keep,Candidate feature after leakage and stability review.
NONLIVINGAREA_AVG,numeric_feature,float64,0,0,3041,True,keep,Candidate feature after leakage and stability review.
APARTMENTS_MODE,numeric_feature,float64,0,0,741,True,keep,Candidate feature after leakage and stability review.
