column,role,dtype,train_unique_count,selected_for_feature_matrix,action,reason
SK_ID_CURR,id,int64,215257,False,exclude,Identifier; use only for tracing and joins.
TARGET,target,int64,2,False,exclude,Label column; use only as y.
NAME_CONTRACT_TYPE,categorical_feature,str,2,True,encode_later,Use OneHotEncoder fitted on train split.
CODE_GENDER,categorical_feature,str,3,True,encode_later,Use OneHotEncoder fitted on train split.
FLAG_OWN_CAR,categorical_feature,str,2,True,encode_later,Use OneHotEncoder fitted on train split.
FLAG_OWN_REALTY,categorical_feature,str,2,True,encode_later,Use OneHotEncoder fitted on train split.
CNT_CHILDREN,numeric_feature,int64,14,True,keep,Candidate feature after leakage and stability review.
AMT_INCOME_TOTAL,numeric_feature,float64,1969,True,keep,Candidate feature after leakage and stability review.
AMT_CREDIT,numeric_feature,float64,5092,True,keep,Candidate feature after leakage and stability review.
AMT_ANNUITY,numeric_feature,float64,12836,True,keep,Candidate feature after leakage and stability review.
AMT_GOODS_PRICE,numeric_feature,float64,834,True,keep,Candidate feature after leakage and stability review.
NAME_TYPE_SUITE,categorical_feature,str,8,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_INCOME_TYPE,categorical_feature,str,5,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_EDUCATION_TYPE,categorical_feature,str,5,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_FAMILY_STATUS,categorical_feature,str,6,True,encode_later,Use OneHotEncoder fitted on train split.
NAME_HOUSING_TYPE,categorical_feature,str,6,True,encode_later,Use OneHotEncoder fitted on train split.
REGION_POPULATION_RELATIVE,numeric_feature,float64,81,True,keep,Candidate feature after leakage and stability review.
DAYS_BIRTH,numeric_feature,int64,17379,True,keep,Candidate feature after leakage and stability review.
DAYS_EMPLOYED,numeric_feature,float64,11815,True,keep,Candidate feature after leakage and stability review.
DAYS_REGISTRATION,numeric_feature,float64,15230,True,keep,Candidate feature after leakage and stability review.
DAYS_ID_PUBLISH,numeric_feature,int64,6125,True,keep,Candidate feature after leakage and stability review.
OWN_CAR_AGE,numeric_feature,float64,58,True,keep,Candidate feature after leakage and stability review.
FLAG_MOBIL,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_EMP_PHONE,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_WORK_PHONE,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_CONT_MOBILE,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_PHONE,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
FLAG_EMAIL,numeric_feature,int64,2,True,keep,Candidate feature after leakage and stability review.
OCCUPATION_TYPE,categorical_feature,str,19,True,encode_later,Use OneHotEncoder fitted on train split.
CNT_FAM_MEMBERS,numeric_feature,float64,15,True,keep,Candidate feature after leakage and stability review.
