column,feature_type,iv,iv_strength,bin_count,fit_split,notes
ext_source_mean,numeric,0.6223288911783343,suspicious_or_very_strong,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ext_source_min,numeric,0.4663679076898878,strong,9,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ext_source_max,numeric,0.4208606671523758,strong,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
EXT_SOURCE_3,numeric,0.33300300840822533,strong,9,train,Screening metric only; no WOE replacement feature is generated in stage 3.
EXT_SOURCE_2,numeric,0.3051932891996859,strong,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
EXT_SOURCE_1,numeric,0.13779827125663713,medium,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
employment_years,numeric,0.11176370622164769,medium,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_EMPLOYED,numeric,0.11136394327002966,medium,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ext_source_std,numeric,0.10701885089814314,medium,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
employment_age_ratio,numeric,0.09312484564892592,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
annuity_credit_ratio,numeric,0.09238469200792508,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
log_AMT_GOODS_PRICE,numeric,0.09050209412734939,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_GOODS_PRICE,numeric,0.09050209412734939,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
OCCUPATION_TYPE,categorical,0.08583667584263639,weak,19,train,Screening metric only; no WOE replacement feature is generated in stage 3.
age_years,numeric,0.0839253235770323,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_BIRTH,numeric,0.08392396351767105,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
ORGANIZATION_TYPE,categorical,0.07553392346141735,weak,49,train,Screening metric only; no WOE replacement feature is generated in stage 3.
goods_credit_ratio,numeric,0.0718039103811797,weak,8,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_INCOME_TYPE,categorical,0.05946840381997804,weak,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_EDUCATION_TYPE,categorical,0.05296912503856501,weak,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REGION_RATING_CLIENT_W_CITY,numeric,0.04986190435279841,weak,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REGION_RATING_CLIENT,numeric,0.04776771596077512,weak,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_LAST_PHONE_CHANGE,numeric,0.045431096118942194,weak,9,train,Screening metric only; no WOE replacement feature is generated in stage 3.
log_AMT_CREDIT,numeric,0.04506213179465855,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_CREDIT,numeric,0.04506213179465855,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_ID_PUBLISH,numeric,0.039304371582991424,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
CODE_GENDER,categorical,0.03873619085093598,weak,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REGION_POPULATION_RELATIVE,numeric,0.035911820380476425,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_EMPLOYED_ANOMALY,numeric,0.034404730476945915,weak,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_EMP_PHONE,numeric,0.034377369716387746,weak,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
TOTALAREA_MODE,numeric,0.03129316850798551,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REG_CITY_NOT_WORK_CITY,numeric,0.0303350766043003,weak,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLAG_DOCUMENT_3,numeric,0.02926182668810231,weak,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLOORSMAX_AVG,numeric,0.02817291743928465,weak,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAREA_MEDI,numeric,0.02808041242934004,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAREA_AVG,numeric,0.028020966050983916,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLOORSMAX_MEDI,numeric,0.027980063384692812,weak,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LIVINGAREA_MODE,numeric,0.027651391367286927,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
FLOORSMAX_MODE,numeric,0.026980216826897135,weak,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
APARTMENTS_AVG,numeric,0.026643299837596474,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
APARTMENTS_MEDI,numeric,0.0266282268024199,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
AMT_ANNUITY,numeric,0.026119909846953785,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
log_AMT_ANNUITY,numeric,0.026119909846953785,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
DAYS_REGISTRATION,numeric,0.02610231995754849,weak,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
WALLSMATERIAL_MODE,categorical,0.025963240538663706,weak,8,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BEGINEXPLUATATION_MODE,numeric,0.02563006010220956,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BEGINEXPLUATATION_MEDI,numeric,0.025388406194817574,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
YEARS_BEGINEXPLUATATION_AVG,numeric,0.02512083546574741,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
APARTMENTS_MODE,numeric,0.02399689309359552,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
EMERGENCYSTATE_MODE,categorical,0.022985063509583775,weak,3,train,Screening metric only; no WOE replacement feature is generated in stage 3.
HOUSETYPE_MODE,categorical,0.021793651103452816,weak,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
BASEMENTAREA_AVG,numeric,0.02133740103231794,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
document_flag_sum,numeric,0.021297664794535844,weak,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
BASEMENTAREA_MEDI,numeric,0.02112799770511403,weak,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
REG_CITY_NOT_LIVE_CITY,numeric,0.020124254153964603,weak,2,train,Screening metric only; no WOE replacement feature is generated in stage 3.
BASEMENTAREA_MODE,numeric,0.01989402127023786,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NAME_FAMILY_STATUS,categorical,0.01952961009209952,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAREA_AVG,numeric,0.01952093391560132,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
NONLIVINGAREA_MEDI,numeric,0.019473175124380356,not_predictive,5,train,Screening metric only; no WOE replacement feature is generated in stage 3.
contact_flag_sum,numeric,0.018527191516630123,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
OWN_CAR_AGE,numeric,0.017034110430222953,not_predictive,4,train,Screening metric only; no WOE replacement feature is generated in stage 3.
credit_per_person,numeric,0.016029750148455237,not_predictive,10,train,Screening metric only; no WOE replacement feature is generated in stage 3.
LANDAREA_MEDI,numeric,0.016006205072339748,not_predictive,6,train,Screening metric only; no WOE replacement feature is generated in stage 3.
