column,dtype,strategy,fill_value,missing_before,train_missing_before,rare_categories_grouped,rare_rows_grouped,reason
NAME_CONTRACT_TYPE,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,0,0,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
CODE_GENDER,str,fill_missing_and_group_train_rare_categories,__MISSING__,4,2,0,0,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
FLAG_OWN_CAR,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,0,0,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
FLAG_OWN_REALTY,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,0,0,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
CNT_CHILDREN,int64,train_median,0.0,0,0,0,0,Numeric missing values are filled with the training-split median to avoid validation/test leakage.
AMT_INCOME_TOTAL,float64,train_median,148500.0,0,0,0,0,Numeric missing values are filled with the training-split median to avoid validation/test leakage.
AMT_CREDIT,float64,train_median,513000.0,0,0,0,0,Numeric missing values are filled with the training-split median to avoid validation/test leakage.
AMT_ANNUITY,float64,train_median,24898.5,12,8,0,0,Numeric missing values are filled with the training-split median to avoid validation/test leakage.
AMT_GOODS_PRICE,float64,train_median,450000.0,278,193,0,0,Numeric missing values are filled with the training-split median to avoid validation/test leakage.
NAME_TYPE_SUITE,str,fill_missing_and_group_train_rare_categories,__MISSING__,1292,899,1,271,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
NAME_INCOME_TYPE,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,4,55,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
NAME_EDUCATION_TYPE,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,1,164,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
NAME_FAMILY_STATUS,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,1,2,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
NAME_HOUSING_TYPE,str,fill_missing_and_group_train_rare_categories,__MISSING__,0,0,0,0,Categorical missing values use a stable sentinel; rare levels are grouped using training-split counts.
