,missing_count,missing_rate
COMMONAREA_AVG,214865,0.6987229725115525
COMMONAREA_MODE,214865,0.6987229725115525
COMMONAREA_MEDI,214865,0.6987229725115525
NONLIVINGAPARTMENTS_AVG,213514,0.6943296337366793
NONLIVINGAPARTMENTS_MODE,213514,0.6943296337366793
NONLIVINGAPARTMENTS_MEDI,213514,0.6943296337366793
FONDKAPREMONT_MODE,210295,0.6838617155158677
LIVINGAPARTMENTS_AVG,210199,0.6835495315614726
LIVINGAPARTMENTS_MODE,210199,0.6835495315614726
LIVINGAPARTMENTS_MEDI,210199,0.6835495315614726
FLOORSMIN_AVG,208642,0.6784862980511266
FLOORSMIN_MODE,208642,0.6784862980511266
FLOORSMIN_MEDI,208642,0.6784862980511266
YEARS_BUILD_AVG,204488,0.6649778381911542
YEARS_BUILD_MODE,204488,0.6649778381911542
YEARS_BUILD_MEDI,204488,0.6649778381911542
OWN_CAR_AGE,202929,0.6599081008484249
LANDAREA_AVG,182590,0.5937673774271489
LANDAREA_MODE,182590,0.5937673774271489
LANDAREA_MEDI,182590,0.5937673774271489
BASEMENTAREA_AVG,179943,0.5851595552679416
BASEMENTAREA_MODE,179943,0.5851595552679416
BASEMENTAREA_MEDI,179943,0.5851595552679416
EXT_SOURCE_1,173378,0.5638107254699832
NONLIVINGAREA_AVG,169682,0.5517916432257708
NONLIVINGAREA_MODE,169682,0.5517916432257708
NONLIVINGAREA_MEDI,169682,0.5517916432257708
ELEVATORS_AVG,163891,0.532959796560123
ELEVATORS_MODE,163891,0.532959796560123
ELEVATORS_MEDI,163891,0.532959796560123
WALLSMATERIAL_MODE,156341,0.508407829313423
APARTMENTS_AVG,156061,0.5074972927797705
APARTMENTS_MODE,156061,0.5074972927797705
APARTMENTS_MEDI,156061,0.5074972927797705
ENTRANCES_AVG,154828,0.503487680115508
ENTRANCES_MODE,154828,0.503487680115508
ENTRANCES_MEDI,154828,0.503487680115508
LIVINGAREA_AVG,154350,0.5019332641759157
LIVINGAREA_MODE,154350,0.5019332641759157
LIVINGAREA_MEDI,154350,0.5019332641759157
HOUSETYPE_MODE,154297,0.50176091261776
FLOORSMAX_AVG,153020,0.4976082156410665
FLOORSMAX_MODE,153020,0.4976082156410665
FLOORSMAX_MEDI,153020,0.4976082156410665
YEARS_BEGINEXPLUATATION_AVG,150007,0.48781019215572774
YEARS_BEGINEXPLUATATION_MODE,150007,0.48781019215572774
YEARS_BEGINEXPLUATATION_MEDI,150007,0.48781019215572774
TOTALAREA_MODE,148431,0.4826851722377411
EMERGENCYSTATE_MODE,145755,0.47398304450897694
OCCUPATION_TYPE,96391,0.31345545362604915
EXT_SOURCE_3,60965,0.19825307062186392
DAYS_EMPLOYED,55374,0.18007160719453938
employment_age_ratio,55374,0.18007160719453938
AMT_REQ_CREDIT_BUREAU_HOUR,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_DAY,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_MON,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,41519,0.13501630835970097
NAME_TYPE_SUITE,1292,0.004201475719567756
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.0033202064316398437
