column,lower_p01_train,upper_p99_train,train_skewness,suggested_action,fit_split
CNT_CHILDREN,0.0,3.0,2.021466576234303,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_INCOME_TOTAL,45000.0,477000.0,371.35119179184323,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_CREDIT,76410.0,1862802.0,1.2389595858917273,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_ANNUITY,6174.0,70070.40000000005,1.5727567354317307,winsorize_if_model_requires; not applied to engineered CSV,train
AMT_GOODS_PRICE,67500.0,1800000.0,1.357046864355661,winsorize_if_model_requires; not applied to engineered CSV,train
REGION_POPULATION_RELATIVE,0.002134,0.072508,1.4874782103296738,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_BIRTH,-24415.0,-8262.0,-0.11370039958841391,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_EMPLOYED,-10945.0,-116.0,-2.294253343796128,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_REGISTRATION,-13892.0,-50.0,-0.5906214687262304,winsorize_if_model_requires; not applied to engineered CSV,train
DAYS_ID_PUBLISH,-5448.0,-61.0,0.34852199677431295,winsorize_if_model_requires; not applied to engineered CSV,train
OWN_CAR_AGE,1.0,64.0,5.240537543461753,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_MOBIL,1.0,1.0,-463.95797223455463,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_EMP_PHONE,0.0,1.0,-1.6590928865417867,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_WORK_PHONE,0.0,1.0,1.5018772224595929,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_CONT_MOBILE,1.0,1.0,-23.429692514726007,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_PHONE,0.0,1.0,0.9707252272172783,winsorize_if_model_requires; not applied to engineered CSV,train
FLAG_EMAIL,0.0,1.0,3.8318029917081704,winsorize_if_model_requires; not applied to engineered CSV,train
CNT_FAM_MEMBERS,1.0,5.0,1.0132281489444548,winsorize_if_model_requires; not applied to engineered CSV,train
REGION_RATING_CLIENT,1.0,3.0,0.08645378684681558,winsorize_if_model_requires; not applied to engineered CSV,train
REGION_RATING_CLIENT_W_CITY,1.0,3.0,0.05925551585409921,winsorize_if_model_requires; not applied to engineered CSV,train
HOUR_APPR_PROCESS_START,4.0,19.0,-0.028686755049965717,winsorize_if_model_requires; not applied to engineered CSV,train
REG_REGION_NOT_LIVE_REGION,0.0,1.0,7.931239783259424,winsorize_if_model_requires; not applied to engineered CSV,train
REG_REGION_NOT_WORK_REGION,0.0,1.0,4.095272373132566,winsorize_if_model_requires; not applied to engineered CSV,train
LIVE_REGION_NOT_WORK_REGION,0.0,1.0,4.668310867366456,winsorize_if_model_requires; not applied to engineered CSV,train
REG_CITY_NOT_LIVE_CITY,0.0,1.0,3.1470253202419087,winsorize_if_model_requires; not applied to engineered CSV,train
REG_CITY_NOT_WORK_CITY,0.0,1.0,1.2834013848444306,winsorize_if_model_requires; not applied to engineered CSV,train
LIVE_CITY_NOT_WORK_CITY,0.0,1.0,1.6730632332289692,winsorize_if_model_requires; not applied to engineered CSV,train
EXT_SOURCE_1,0.11624220359325708,0.86673975195885,-0.15674851956167302,winsorize_if_model_requires; not applied to engineered CSV,train
EXT_SOURCE_2,0.029608154931036263,0.7826977701508528,-0.7982274108673002,winsorize_if_model_requires; not applied to engineered CSV,train
EXT_SOURCE_3,0.0724966767537821,0.8327850252992314,-0.5460460362846884,winsorize_if_model_requires; not applied to engineered CSV,train
APARTMENTS_AVG,0.0041,0.4402,4.1450988713731824,winsorize_if_model_requires; not applied to engineered CSV,train
BASEMENTAREA_AVG,0.0,0.2963440000000002,5.825453183922684,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BEGINEXPLUATATION_AVG,0.9573,0.998,-22.049375506328268,winsorize_if_model_requires; not applied to engineered CSV,train
YEARS_BUILD_AVG,0.5512,0.966,-1.6987860756182376,winsorize_if_model_requires; not applied to engineered CSV,train
COMMONAREA_AVG,0.0,0.20084400000000024,10.118479484497064,winsorize_if_model_requires; not applied to engineered CSV,train
