,count,mean,std,min,1%,5%,50%,95%,99%,max
SK_ID_CURR,307511.0,278180.51857657125,102790.17534842459,100002.0,103590.2,117945.5,278202.0,438427.5,452712.9,456255.0
TARGET,307511.0,0.08072881945686496,0.27241864564839396,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CNT_CHILDREN,307511.0,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,0.0,2.0,3.0,19.0
AMT_INCOME_TOTAL,307511.0,168797.9192969845,237123.1462788562,25650.0,45000.0,67500.0,147150.0,337500.0,472500.0,117000000.0
AMT_CREDIT,307511.0,599025.9997057016,402490.7769958549,45000.0,76410.0,135000.0,513531.0,1350000.0,1854000.0,4050000.0
AMT_ANNUITY,307499.0,27108.573909183444,14493.737315118335,1615.5,6182.91,9000.0,24903.0,53325.0,70006.5,258025.5
AMT_GOODS_PRICE,307233.0,538396.2074288895,369446.46054005757,40500.0,67500.0,135000.0,450000.0,1305000.0,1800000.0,4050000.0
REGION_POPULATION_RELATIVE,307511.0,0.020868112057780035,0.013831280122704704,0.00029,0.002134,0.00496,0.01885,0.04622,0.072508,0.072508
DAYS_BIRTH,307511.0,-16036.995066843137,4363.98863178556,-25229.0,-24419.0,-23204.0,-15750.0,-9407.0,-8263.0,-7489.0
DAYS_EMPLOYED,252137.0,-2384.1693246132063,2338.36016203967,-17912.0,-11338.279999999999,-7291.0,-1648.0,-206.0,-111.0,0.0
DAYS_REGISTRATION,307511.0,-4986.120327538418,3522.8863209630713,-24672.0,-13879.0,-11416.0,-4504.0,-330.0,-50.0,0.0
DAYS_ID_PUBLISH,307511.0,-2994.2023732484367,1509.4504190030232,-7197.0,-5447.0,-4944.0,-3254.0,-375.0,-61.0,0.0
OWN_CAR_AGE,104582.0,12.061090818687727,11.94481158224276,0.0,0.0,1.0,9.0,30.0,64.0,91.0
FLAG_MOBIL,307511.0,0.9999967480838083,0.001803307015351493,0.0,1.0,1.0,1.0,1.0,1.0,1.0
FLAG_EMP_PHONE,307511.0,0.8198893698111612,0.3842801989387643,0.0,0.0,0.0,1.0,1.0,1.0,1.0
FLAG_WORK_PHONE,307511.0,0.1993684778755882,0.3995262281502265,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_CONT_MOBILE,307511.0,0.9981334001060125,0.04316389414243239,0.0,1.0,1.0,1.0,1.0,1.0,1.0
FLAG_PHONE,307511.0,0.28106636835755466,0.44952054685675835,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_EMAIL,307511.0,0.0567199222141647,0.23130703972270758,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CNT_FAM_MEMBERS,307509.0,2.152665450442101,0.9106815691792972,1.0,1.0,1.0,2.0,4.0,5.0,20.0
REGION_RATING_CLIENT,307511.0,2.0524631639193394,0.50903390281568,1.0,1.0,1.0,2.0,3.0,3.0,3.0
REGION_RATING_CLIENT_W_CITY,307511.0,2.031520823645333,0.5027370329147687,1.0,1.0,1.0,2.0,3.0,3.0,3.0
HOUR_APPR_PROCESS_START,307511.0,12.063418869568894,3.265832255437871,0.0,4.0,7.0,12.0,17.0,19.0,23.0
REG_REGION_NOT_LIVE_REGION,307511.0,0.015144173704355291,0.12212647628215205,0.0,0.0,0.0,0.0,0.0,1.0,1.0
REG_REGION_NOT_WORK_REGION,307511.0,0.05076891558350758,0.21952582879696064,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LIVE_REGION_NOT_WORK_REGION,307511.0,0.04065870814377372,0.19749861882842365,0.0,0.0,0.0,0.0,0.0,1.0,1.0
REG_CITY_NOT_LIVE_CITY,307511.0,0.07817281333025486,0.26844377237340455,0.0,0.0,0.0,0.0,1.0,1.0,1.0
REG_CITY_NOT_WORK_CITY,307511.0,0.23045354475124466,0.4211238359138973,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LIVE_CITY_NOT_WORK_CITY,307511.0,0.17955455252007246,0.38381661538559586,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EXT_SOURCE_1,134133.0,0.5021298056566624,0.21106224927392495,0.0145681324124455,0.08425667101058731,0.15802123068407123,0.5059979305057544,0.8322601465728647,0.8894105328176929,0.962692770561306
EXT_SOURCE_2,306851.0,0.5143926741308464,0.19106015498493653,8.173616518884397e-08,0.0294766996211982,0.1332991460331683,0.5659614260608526,0.7477341421710526,0.7827928199705348,0.8549996664047012
EXT_SOURCE_3,246546.0,0.5108529061799657,0.1948443644637488,0.0005272652387098,0.0646719558983517,0.1547436312725944,0.5352762504724826,0.7862666146611379,0.8327850252992314,0.8960095494948396
APARTMENTS_AVG,151450.0,0.11744049917464508,0.10824029130032231,0.0,0.0021,0.0082,0.0876,0.3268,0.5448610000000103,1.0
BASEMENTAREA_AVG,127568.0,0.08844221905179983,0.08243815873568511,0.0,0.0,0.0,0.0763,0.2237,0.38596600000000036,1.0
YEARS_BEGINEXPLUATATION_AVG,157504.0,0.9777348581623325,0.05922331435836282,0.0,0.9488,0.9687,0.9816,0.996,0.999,1.0
YEARS_BUILD_AVG,103023.0,0.7524714325927221,0.11327992663224716,0.0,0.3472,0.5920000000000001,0.7552,0.9524,0.9864,1.0
COMMONAREA_AVG,92646.0,0.044620715411350736,0.07603574505040936,0.0,0.0,0.0,0.0211,0.1601,0.3765550000000003,1.0
ELEVATORS_AVG,143620.0,0.07894151232418883,0.13457600110034418,0.0,0.0,0.0,0.0,0.36,0.6,1.0
ENTRANCES_AVG,152683.0,0.1497246700680495,0.10004912076035907,0.0,0.0345,0.0345,0.1379,0.3103,0.5172,1.0
FLOORSMAX_AVG,154491.0,0.22628190703665582,0.144640699548004,0.0,0.0,0.0417,0.1667,0.4792,0.6667,1.0
FLOORSMIN_AVG,98869.0,0.2318935004905481,0.1613802888001374,0.0,0.0,0.0417,0.2083,0.5,0.7083,1.0
LANDAREA_AVG,124921.0,0.06633318417239695,0.08118364070179358,0.0,0.0,0.0,0.0481,0.1947,0.3746,1.0
