column,missing_count,missing_rate,zero_count,negative_count,skewness,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,iqr_outlier_count,iqr_outlier_rate,special_note
CNT_CHILDREN,0,0.0,215371,0,1.974604469694792,0.0,1.0,1.0,-1.5,2.5,4272,0.013892185970583166,
AMT_INCOME_TOTAL,0,0.0,0,0,391.55965410418776,112500.0,202500.0,90000.0,-22500.0,337500.0,14035,0.045640643749329295,
AMT_CREDIT,0,0.0,0,0,1.2347784971349396,270000.0,808650.0,538650.0,-537975.0,1616625.0,6562,0.0213390740493836,
AMT_ANNUITY,12,3.9022994299390916e-05,0,0,1.5797773638612502,16524.0,34596.0,18072.0,-10584.0,61704.0,7504,0.024402379101885786,
AMT_GOODS_PRICE,278,0.0009040327012692228,0,0,1.349000341474745,238500.0,679500.0,441000.0,-423000.0,1341000.0,14728,0.04789422167011912,
REGION_POPULATION_RELATIVE,0,0.0,0,0,1.4880085207077653,0.010006,0.028663,0.018657,-0.017979500000000002,0.056648500000000004,8412,0.02735511900387303,
DAYS_BIRTH,0,0.0,0,307511,-0.11567331170166133,-19682.0,-12413.0,7269.0,-30585.5,-1509.5,0,0.0,
DAYS_EMPLOYED,55374,0.18007160719453938,2,252135,-1.9683155310704772,-3175.0,-767.0,2408.0,-6787.0,2845.0,15149,0.049263278386789414,raw 365243 sentinel replaced; see cleaning audit
DAYS_REGISTRATION,0,0.0,80,307431,-0.5908716157350037,-7479.5,-2010.0,5469.5,-15683.75,6194.25,659,0.0021430127702748844,
DAYS_ID_PUBLISH,0,0.0,16,307495,0.34932749320299783,-4299.0,-1720.0,2579.0,-8167.5,2148.5,0,0.0,
OWN_CAR_AGE,202929,0.6599081008484249,2134,0,2.7454221308684565,5.0,15.0,10.0,-10.0,30.0,4932,0.016038450657049667,
FLAG_MOBIL,0,0.0,1,0,-554.5367435977528,1.0,1.0,0.0,1.0,1.0,1,3.2519161916159095e-06,
FLAG_EMP_PHONE,0,0.0,55386,0,-1.6648864615712877,1.0,1.0,0.0,1.0,1.0,55386,0.18011063018883877,
FLAG_WORK_PHONE,0,0.0,246203,0,1.5049498942087771,0.0,0.0,0.0,0.0,0.0,61308,0.1993684778755882,
FLAG_CONT_MOBILE,0,0.0,574,0,-23.081172345547355,1.0,1.0,0.0,1.0,1.0,574,0.0018665998939875323,
FLAG_PHONE,0,0.0,221080,0,0.9740825289977859,0.0,1.0,1.0,-1.5,2.5,0,0.0,
FLAG_EMAIL,0,0.0,290069,0,3.8328531752022883,0.0,0.0,0.0,0.0,0.0,17442,0.0567199222141647,
CNT_FAM_MEMBERS,2,6.503832383231819e-06,0,0,0.9875428137192184,2.0,3.0,1.0,0.5,4.5,4007,0.01303042817980495,
REGION_RATING_CLIENT,0,0.0,0,0,0.08746834970932345,2.0,2.0,0.0,2.0,2.0,80527,0.26186705516225434,
REGION_RATING_CLIENT_W_CITY,0,0.0,0,0,0.059729812149467286,2.0,2.0,0.0,2.0,2.0,78027,0.25373726468321456,
HOUR_APPR_PROCESS_START,0,0.0,40,0,-0.02802445946067512,10.0,14.0,4.0,4.0,20.0,2257,0.007339574844477108,
REG_REGION_NOT_LIVE_REGION,0,0.0,302854,0,7.940276252906794,0.0,0.0,0.0,0.0,0.0,4657,0.015144173704355291,
REG_REGION_NOT_WORK_REGION,0,0.0,291899,0,4.092766747503462,0.0,0.0,0.0,0.0,0.0,15612,0.05076891558350758,
LIVE_REGION_NOT_WORK_REGION,0,0.0,295008,0,4.65162016908563,0.0,0.0,0.0,0.0,0.0,12503,0.04065870814377372,
REG_CITY_NOT_LIVE_CITY,0,0.0,283472,0,3.1427805268221376,0.0,0.0,0.0,0.0,0.0,24039,0.07817281333025486,
REG_CITY_NOT_WORK_CITY,0,0.0,236644,0,1.2801375052075334,0.0,0.0,0.0,0.0,0.0,70867,0.23045354475124466,
LIVE_CITY_NOT_WORK_CITY,0,0.0,252296,0,1.6697949946488255,0.0,0.0,0.0,0.0,0.0,55215,0.17955455252007246,
EXT_SOURCE_1,173378,0.5638107254699832,0,0,-0.06875505870176256,0.3340072886740926,0.6750525982300696,0.341045309555977,-0.17756067565987288,1.186620562564035,0,0.0,
EXT_SOURCE_2,660,0.0021462646864665006,0,0,-0.793576044963703,0.3924574161782719,0.6636170897493769,0.27115967357110504,-0.014282094178385663,1.0703566001060345,0,0.0,
EXT_SOURCE_3,60965,0.19825307062186392,0,0,-0.40939045961602516,0.3706496323299817,0.6690566947824041,0.29840706245242243,-0.07696096134865194,1.1166672884610378,0,0.0,
APARTMENTS_AVG,156061,0.5074972927797705,751,0,2.641835785831277,0.0577,0.1485,0.09079999999999999,-0.07849999999999999,0.28469999999999995,10655,0.03464916702166752,
BASEMENTAREA_AVG,179943,0.5851595552679416,14745,0,3.566306125866456,0.0442,0.1122,0.06799999999999999,-0.057799999999999976,0.21419999999999997,7190,0.02338127741771839,
YEARS_BEGINEXPLUATATION_AVG,150007,0.48781019215572774,514,0,-15.51526446627384,0.9767,0.9866,0.00990000000000002,0.96185,1.0014500000000002,4784,0.015557167060690512,
YEARS_BUILD_AVG,204488,0.6649778381911542,102,0,-0.9624852035905684,0.6872,0.8232,0.136,0.4832,1.0272000000000001,2154,0.00700462747674067,
COMMONAREA_AVG,214865,0.6987229725115525,8442,0,5.457305396120233,0.0078,0.0515,0.043699999999999996,-0.057749999999999996,0.11704999999999999,7942,0.025826718393813553,
ELEVATORS_AVG,163891,0.532959796560123,85718,0,2.439428668562437,0.0,0.12,0.12,-0.18,0.3,10420,0.03388496671663778,
ENTRANCES_AVG,154828,0.503487680115508,323,0,2.3997166974042456,0.069,0.2069,0.1379,-0.13784999999999997,0.41374999999999995,3882,0.012623938655852962,
FLOORSMAX_AVG,153020,0.4976082156410665,2938,0,1.2264535560153553,0.1667,0.3333,0.1666,-0.08320000000000002,0.5831999999999999,5215,0.016958742939276968,
FLOORSMIN_AVG,208642,0.6784862980511266,2320,0,0.9541972815367735,0.0833,0.375,0.2917,-0.35425,0.81255,343,0.001115407253724257,
LANDAREA_AVG,182590,0.5937673774271489,15600,0,4.45867664075008,0.0187,0.0856,0.06689999999999999,-0.08164999999999997,0.18594999999999998,6888,0.022399198727850386,
LIVINGAPARTMENTS_AVG,210199,0.6835495315614726,418,0,3.042198061393282,0.0504,0.121,0.0706,-0.055499999999999994,0.2269,7881,0.025628351506124983,
LIVINGAREA_AVG,154350,0.5019332641759157,284,0,2.85473644632105,0.0453,0.1299,0.08459999999999998,-0.08159999999999995,0.2567999999999999,12517,0.04070423497045634,
NONLIVINGAPARTMENTS_AVG,213514,0.6943296337366793,54549,0,15.54118547681355,0.0,0.0039,0.0039,-0.005849999999999999,0.009749999999999998,15580,0.05066485426537587,
NONLIVINGAREA_AVG,169682,0.5517916432257708,58735,0,6.559011647197609,0.0,0.0277,0.0277,-0.04155,0.06924999999999999,16546,0.05380620530647684,
APARTMENTS_MODE,156061,0.5074972927797705,976,0,2.7030516535894438,0.0525,0.1439,0.09140000000000001,-0.08460000000000001,0.281,10397,0.03381017264423061,
BASEMENTAREA_MODE,179943,0.5851595552679416,16598,0,3.481532853157934,0.0407,0.1124,0.0717,-0.06685,0.21995,6910,0.022470740884065935,
