model_family,model,strategy,compared_to,threshold,tp,fp,fn,precision,recall,f1,tp_gain,fp_gain,fn_reduction,recall_delta,precision_delta,f1_delta
lightgbm,stage5_lightgbm_raw_gpu,raw,stage5_lightgbm_raw_gpu,0.5,92,85,3632,0.519774011299435,0.024704618689581095,0.04716739297615996,0,0,0,0.0,0.0,0.0
lightgbm,stage5_lightgbm_weighted_gpu,weighted,stage5_lightgbm_raw_gpu,0.5,2427,11349,1297,0.17617595818815332,0.65171858216971,0.27737142857142855,2335,11264,2335,0.6270139634801289,-0.34359805311128166,0.23020403559526859
lightgbm,stage5_lightgbm_random_under_sample_gpu,random_under_sample,stage5_lightgbm_raw_gpu,0.5,2580,13096,1144,0.1645828017351365,0.6928034371643395,0.26597938144329897,2488,13011,2488,0.6680988184747584,-0.3551912095642985,0.218811988467139
lightgbm,stage5_lightgbm_smote_gpu,smote,stage5_lightgbm_raw_gpu,0.5,80,78,3644,0.5063291139240507,0.021482277121374866,0.04121586810922205,-12,-7,-12,-0.0032223415682062287,-0.013444897375384346,-0.00595152486693791
lightgbm,stage5_lightgbm_threshold_moving_gpu,threshold_moving,stage5_lightgbm_raw_gpu,0.19,1222,3126,2502,0.281048758049678,0.3281417830290011,0.30277502477700696,1130,3041,1130,0.30343716433942003,-0.23872525324975702,0.255607631800847
xgboost,stage5_xgboost_raw_cuda,raw,stage5_xgboost_raw_cuda,0.5,74,68,3650,0.5211267605633803,0.01987110633727175,0.03828246249353337,0,0,0,0.0,0.0,0.0
xgboost,stage5_xgboost_weighted_cuda,weighted,stage5_xgboost_raw_cuda,0.5,2525,12365,1199,0.16957689724647415,0.6780343716433942,0.27130117116149133,2451,12297,2451,0.6581632653061225,-0.3515498633169061,0.23301870866795796
xgboost,stage5_xgboost_random_under_sample_cuda,random_under_sample,stage5_xgboost_raw_cuda,0.5,2577,13148,1147,0.16387917329093799,0.6919978517722879,0.2650007712478791,2503,13080,2503,0.6721267454350162,-0.35724758727244227,0.2267183087543457
xgboost,stage5_xgboost_smote_cuda,smote,stage5_xgboost_raw_cuda,0.5,32,25,3692,0.5614035087719298,0.008592910848549946,0.016926738957947635,-42,-43,-42,-0.011278195488721806,0.04027674820854954,-0.021355723535585736
xgboost,stage5_xgboost_threshold_moving_cuda,threshold_moving,stage5_xgboost_raw_cuda,0.15,1649,5113,2075,0.24386276249630287,0.4428034371643394,0.3145145908830822,1575,5045,1575,0.42293233082706766,-0.27726399806707736,0.2762321283895488
