model,model_family,strategy,actual_device,split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,0.7641809727961154,0.2569212584816172,0.5763888888888888,0.02228786251342642,0.042916235780765255,0.5,42342,61,3641,83
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,test,0.7575985962325132,0.2423973168272875,0.519774011299435,0.024704618689581095,0.04716739297615996,0.5,42318,85,3632,92
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,valid,0.7630270217033921,0.253741656635483,0.17737845083689588,0.6573576799140709,0.2793723252496434,0.5,31050,11353,1276,2448
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,test,0.756913377807789,0.242941677409123,0.17617595818815332,0.65171858216971,0.27737142857142855,0.5,31054,11349,1297,2427
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,valid,0.7603736415605842,0.24957463309912672,0.16568123393316195,0.692266380236305,0.26737191454055176,0.5,29421,12982,1146,2578
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,test,0.7550030849457812,0.23375011552833475,0.1645828017351365,0.6928034371643395,0.26597938144329897,0.5,29307,13096,1144,2580
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,valid,0.7667841150712007,0.2568337809249825,0.5789473684210527,0.023630504833512353,0.04540763673890609,0.5,42339,64,3636,88
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,test,0.7607654437335503,0.24134325873032253,0.5063291139240507,0.021482277121374866,0.04121586810922205,0.5,42325,78,3644,80
stage5_lightgbm_threshold_moving_gpu,lightgbm,threshold_moving,gpu,valid,0.7641809727961154,0.2569212584816172,0.29700401037980656,0.33807733619763697,0.31621248273263847,0.19,39423,2980,2465,1259
stage5_lightgbm_threshold_moving_gpu,lightgbm,threshold_moving,gpu,test,0.7575985962325132,0.2423973168272875,0.281048758049678,0.3281417830290011,0.30277502477700696,0.19,39277,3126,2502,1222
stage5_xgboost_raw_cuda,xgboost,raw,cuda,valid,0.7645585484003384,0.25731774941184415,0.5901639344262295,0.01933404940923738,0.0374414976599064,0.5,42353,50,3652,72
stage5_xgboost_raw_cuda,xgboost,raw,cuda,test,0.7592351677587613,0.24512083837943333,0.5211267605633803,0.01987110633727175,0.03828246249353337,0.5,42335,68,3650,74
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,valid,0.7643517581151222,0.255076422719225,0.17251981415687345,0.6780343716433942,0.2750544662309368,0.5,30292,12111,1199,2525
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,test,0.7571339355358929,0.2431469231553197,0.16957689724647415,0.6780343716433942,0.27130117116149133,0.5,30038,12365,1199,2525
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,valid,0.7613872932910909,0.251043604911434,0.16331210191082804,0.6885069817400644,0.26400329489291596,0.5,29267,13136,1160,2564
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,test,0.7553502695847703,0.2376645238411699,0.16387917329093799,0.6919978517722879,0.2650007712478791,0.5,29255,13148,1147,2577
stage5_xgboost_smote_cuda,xgboost,smote,cuda,valid,0.759073020338604,0.249444280187102,0.6176470588235294,0.005639097744360902,0.011176157530601383,0.5,42390,13,3703,21
stage5_xgboost_smote_cuda,xgboost,smote,cuda,test,0.7537824054511678,0.23831823600689314,0.5614035087719298,0.008592910848549946,0.016926738957947635,0.5,42378,25,3692,32
stage5_xgboost_threshold_moving_cuda,xgboost,threshold_moving,cuda,valid,0.7645585484003384,0.25731774941184415,0.24804098854731765,0.44199785177228784,0.31776061776061776,0.15,37413,4990,2078,1646
stage5_xgboost_threshold_moving_cuda,xgboost,threshold_moving,cuda,test,0.7592351677587613,0.24512083837943333,0.24386276249630287,0.4428034371643394,0.3145145908830822,0.15,37290,5113,2075,1649
