model,model_family,strategy,requested_device,actual_device,random_state,uses_scale_pos_weight,scale_pos_weight,uses_sampling,sampler,threshold,params_json
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,gpu,42,False,,False,,0.5,"{""colsample_bytree"": 0.85, ""device_type"": ""gpu"", ""gpu_device_id"": 0, ""gpu_platform_id"": 0, ""learning_rate"": 0.04, ""n_estimators"": 400, ""n_jobs"": -1, ""num_leaves"": 48, ""random_state"": 42, ""subsample"": 0.85, ""verbosity"": -1}"
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,gpu,42,True,11.38746619094205,False,,0.5,"{""colsample_bytree"": 0.85, ""device_type"": ""gpu"", ""gpu_device_id"": 0, ""gpu_platform_id"": 0, ""learning_rate"": 0.04, ""n_estimators"": 400, ""n_jobs"": -1, ""num_leaves"": 48, ""random_state"": 42, ""scale_pos_weight"": 11.38746619094205, ""subsample"": 0.85, ""verbosity"": -1}"
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,gpu,42,False,,True,RandomUnderSampler,0.5,"{""colsample_bytree"": 0.85, ""device_type"": ""gpu"", ""gpu_device_id"": 0, ""gpu_platform_id"": 0, ""learning_rate"": 0.04, ""n_estimators"": 400, ""n_jobs"": -1, ""num_leaves"": 48, ""random_state"": 42, ""subsample"": 0.85, ""verbosity"": -1}"
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,gpu,42,False,,True,SMOTE,0.5,"{""colsample_bytree"": 0.85, ""device_type"": ""gpu"", ""gpu_device_id"": 0, ""gpu_platform_id"": 0, ""learning_rate"": 0.04, ""n_estimators"": 400, ""n_jobs"": -1, ""num_leaves"": 48, ""random_state"": 42, ""subsample"": 0.85, ""verbosity"": -1}"
stage5_lightgbm_threshold_moving_gpu,lightgbm,threshold_moving,gpu,gpu,42,False,,False,,0.19,"{""colsample_bytree"": 0.85, ""device_type"": ""gpu"", ""gpu_device_id"": 0, ""gpu_platform_id"": 0, ""learning_rate"": 0.04, ""n_estimators"": 400, ""n_jobs"": -1, ""num_leaves"": 48, ""random_state"": 42, ""subsample"": 0.85, ""verbosity"": -1}"
stage5_xgboost_raw_cuda,xgboost,raw,cuda,cuda,42,False,,False,,0.5,"{""colsample_bytree"": 0.85, ""device"": ""cuda"", ""eval_metric"": ""logloss"", ""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 350, ""n_jobs"": 1, ""random_state"": 42, ""subsample"": 0.85, ""tree_method"": ""hist""}"
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,cuda,42,True,11.38746619094205,False,,0.5,"{""colsample_bytree"": 0.85, ""device"": ""cuda"", ""eval_metric"": ""logloss"", ""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 350, ""n_jobs"": 1, ""random_state"": 42, ""scale_pos_weight"": 11.38746619094205, ""subsample"": 0.85, ""tree_method"": ""hist""}"
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,cuda,42,False,,True,RandomUnderSampler,0.5,"{""colsample_bytree"": 0.85, ""device"": ""cuda"", ""eval_metric"": ""logloss"", ""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 350, ""n_jobs"": 1, ""random_state"": 42, ""subsample"": 0.85, ""tree_method"": ""hist""}"
stage5_xgboost_smote_cuda,xgboost,smote,cuda,cuda,42,False,,True,SMOTE,0.5,"{""colsample_bytree"": 0.85, ""device"": ""cuda"", ""eval_metric"": ""logloss"", ""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 350, ""n_jobs"": 1, ""random_state"": 42, ""subsample"": 0.85, ""tree_method"": ""hist""}"
stage5_xgboost_threshold_moving_cuda,xgboost,threshold_moving,cuda,cuda,42,False,,False,,0.15,"{""colsample_bytree"": 0.85, ""device"": ""cuda"", ""eval_metric"": ""logloss"", ""learning_rate"": 0.04, ""max_depth"": 5, ""n_estimators"": 350, ""n_jobs"": 1, ""random_state"": 42, ""subsample"": 0.85, ""tree_method"": ""hist""}"
