model,model_family,strategy,actual_device,cost_scenario,cost_ratio,fn_cost,fp_cost,selected_threshold,valid_total_cost,valid_precision,valid_recall,valid_f1,valid_tn,valid_fp,valid_fn,valid_tp,test_total_cost,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp,test_cost_at_0_5,test_cost_saving_vs_0_5,test_tp_gain_vs_0_5,test_fp_gain_vs_0_5,test_fn_reduction_vs_0_5
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,fn5_fp1,5:1,5,1,0.19,15305,0.29700401037980656,0.33807733619763697,0.31621248273263847,39423,2980,2465,1259,15636,0.281048758049678,0.3281417830290011,0.30277502477700696,39277,3126,2502,1222,18245,2609,1130,3041,1130
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,fn10_fp1,10:1,10,1,0.1,24291,0.19094153636981645,0.6033834586466166,0.2900852052672347,32882,9521,1477,2247,24374,0.18923917612442204,0.6044575725026853,0.2882386836545233,32759,9644,1473,2251,36405,12031,2159,9559,2159
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,fn20_fp1,20:1,20,1,0.05,32342,0.1330523268190914,0.8391514500537057,0.22968652383227373,22041,20362,599,3125,33237,0.13126623791473233,0.8276047261009667,0.22659265522185054,22006,20397,642,3082,72725,39488,2990,20312,2990
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,fn5_fp1,5:1,5,1,0.7,15339,0.2876742642177473,0.34908700322234154,0.3154191435157103,39184,3219,2424,1300,15608,0.2761780104712042,0.3399570354457572,0.3047664901299952,39085,3318,2458,1266,17834,2226,-1161,-8031,-1161
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,fn10_fp1,10:1,10,1,0.5,24113,0.17737845083689588,0.6573576799140709,0.2793723252496434,31050,11353,1276,2448,24319,0.17617595818815332,0.65171858216971,0.27737142857142855,31054,11349,1297,2427,24319,0,0,0,0
stage5_lightgbm_weighted_gpu,lightgbm,weighted,gpu,fn20_fp1,20:1,20,1,0.32,32756,0.12840530210620477,0.8480128893662728,0.22303835016597218,20967,21436,566,3158,33313,0.12735925805401888,0.8407626208378088,0.2212095520700862,20950,21453,593,3131,37289,3976,704,10104,704
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,fn5_fp1,5:1,5,1,0.69,15445,0.251810136765889,0.4202470461868958,0.31492101821108764,37753,4650,2159,1565,15805,0.24044661110237459,0.4105800214822771,0.30328275314886444,37573,4830,2195,1529,18816,3011,-1051,-8266,-1051
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,fn10_fp1,10:1,10,1,0.53,24347,0.17568349486474757,0.6522556390977443,0.2768091168091168,31006,11397,1295,2429,24637,0.17271169498786235,0.6495703544575725,0.27287084038353077,30816,11587,1305,2419,24536,-101,-161,-1509,-161
stage5_lightgbm_random_under_sample_gpu,lightgbm,random_under_sample,gpu,fn20_fp1,20:1,20,1,0.35,32878,0.12584402764067126,0.8558002148227712,0.21942235533064822,20265,22138,537,3187,33817,0.1245431431749563,0.8418367346938775,0.21698504983388706,20366,22037,589,3135,35976,2159,555,8941,555
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,fn5_fp1,5:1,5,1,0.18,15172,0.28399346672111064,0.37352309344790546,0.3226629552308049,38896,3507,2333,1391,15684,0.26472945891783567,0.3547261009667025,0.30319026853339454,38734,3669,2403,1321,18298,2614,1241,3591,1241
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,fn10_fp1,10:1,10,1,0.1,24057,0.18875010204914686,0.6208378088077336,0.2894885118637701,32466,9937,1412,2312,23976,0.18833319867496162,0.6259398496240601,0.28954723309111235,32357,10046,1393,2331,36518,12542,2251,9968,2251
stage5_lightgbm_smote_gpu,lightgbm,smote,gpu,fn20_fp1,20:1,20,1,0.05,32628,0.12859058221265185,0.8498925886143931,0.22338285633623883,20955,21448,559,3165,33318,0.12760661089573555,0.83968850698174,0.22154521945517022,21025,21378,597,3127,72958,39640,3047,21300,3047
stage5_xgboost_raw_cuda,xgboost,raw,cuda,fn5_fp1,5:1,5,1,0.18,15299,0.2847088931541907,0.35848549946294306,0.3173659812195412,39049,3354,2389,1335,15593,0.2713130056004978,0.35123523093447906,0.3061439438267993,38890,3513,2416,1308,18318,2725,1234,3445,1234
stage5_xgboost_raw_cuda,xgboost,raw,cuda,fn10_fp1,10:1,10,1,0.09,24246,0.17676987934292776,0.6530612244897959,0.27822903557945317,31077,11326,1292,2432,24380,0.17479908151549942,0.6541353383458647,0.2758776896942242,30903,11500,1288,2436,36568,12188,2362,11432,2362
stage5_xgboost_raw_cuda,xgboost,raw,cuda,fn20_fp1,20:1,20,1,0.05,32660,0.13018242122719734,0.8431793770139635,0.22554230713977877,21423,20980,584,3140,33285,0.12903627459118452,0.8348549946294307,0.22352433676037098,21418,20985,615,3109,73068,39783,3035,20917,3035
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,fn5_fp1,5:1,5,1,0.7,15415,0.27966998096044005,0.35499462943071963,0.3128623831499231,38998,3405,2402,1322,15571,0.27189894388072067,0.35257787325456497,0.3070267742312639,38887,3516,2411,1313,18360,2789,-1212,-8849,-1212
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,fn10_fp1,10:1,10,1,0.5,24101,0.17251981415687345,0.6780343716433942,0.2750544662309368,30292,12111,1199,2525,24355,0.16957689724647415,0.6780343716433942,0.27130117116149133,30038,12365,1199,2525,24355,0,0,0,0
stage5_xgboost_weighted_cuda,xgboost,weighted,cuda,fn20_fp1,20:1,20,1,0.35,32442,0.1288020115175602,0.8528464017185822,0.22380381932210555,20921,21482,548,3176,33683,0.12639902676399026,0.8370032223415682,0.21963077790304397,20860,21543,607,3117,36345,2662,592,9178,592
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,fn5_fp1,5:1,5,1,0.74,15440,0.30256410256410254,0.31686358754027927,0.3095487932843652,39683,2720,2544,1180,15791,0.2835192069392813,0.3071965628356606,0.29488336125789405,39512,2891,2580,1144,18883,3092,-1433,-10257,-1433
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,fn10_fp1,10:1,10,1,0.56,24273,0.18867142146292917,0.6109022556390977,0.2883031301482702,32620,9783,1449,2275,24431,0.18597436525430647,0.6117078410311493,0.2852313278657735,32432,9971,1446,2278,24618,187,-299,-3177,-299
stage5_xgboost_random_under_sample_cuda,xgboost,random_under_sample,cuda,fn20_fp1,20:1,20,1,0.36,32900,0.1263873970640888,0.8531149301825993,0.22015869166002563,20443,21960,547,3177,33541,0.12533386485947778,0.8442534908700322,0.21826512548162033,20462,21941,580,3144,36088,2547,567,8793,567
stage5_xgboost_smote_cuda,xgboost,smote,cuda,fn5_fp1,5:1,5,1,0.18,15279,0.29071062597460456,0.3504296455424275,0.31778887130159506,39219,3184,2419,1305,15684,0.27235421166306695,0.3386143931256713,0.30189130955231025,39034,3369,2463,1261,18485,2801,1229,3344,1229
stage5_xgboost_smote_cuda,xgboost,smote,cuda,fn10_fp1,10:1,10,1,0.1,24535,0.18269230769230768,0.6173469387755102,0.28194751042433164,32118,10285,1425,2299,24538,0.1812280015643332,0.6221804511278195,0.28069537827851476,31935,10468,1407,2317,36945,12407,2285,10443,2285
stage5_xgboost_smote_cuda,xgboost,smote,cuda,fn20_fp1,20:1,20,1,0.05,32874,0.12446185471046814,0.8617078410311493,0.21750771003490696,19829,22574,515,3209,34030,0.1225069009758563,0.8461331901181526,0.21402615044999151,19833,22570,573,3151,73865,39835,3119,22545,3119
