model,model_family,strategy,calibration_method,split,bin,lower,upper,count,mean_predicted_probability,observed_default_rate,absolute_gap,weighted_gap
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,1,0.0,0.1,33878,0.043878976142024656,0.041678965700454575,0.0022000104415700814,0.0016157988540228328
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,2,0.1,0.2,8279,0.13929690186609323,0.1317792003865201,0.007517701479573119,0.0013492976033426377
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,3,0.2,0.30000000000000004,2524,0.2409202025267496,0.25950871632329636,0.018588513796546774,0.0010171354916314536
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,4,0.30000000000000004,0.4,965,0.34190690616755903,0.3471502590673575,0.005243352899798492,0.0001096935753095919
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,5,0.4,0.5,329,0.44005177517415994,0.43465045592705165,0.005401319247108294,3.852481263248485e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,6,0.5,0.6000000000000001,130,0.5425625996050424,0.5615384615384615,0.018975861933419158,5.347978518751469e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,7,0.6000000000000001,0.7000000000000001,20,0.6328341436790488,0.75,0.11716585632095122,5.0801420565374386e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,8,0.7000000000000001,0.8,2,0.7138464478901685,0.0,0.7138464478901685,3.095134944350027e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,1,0.0,0.1,33750,0.04363211128936611,0.041274074074074074,0.0023580372152920345,0.0017253182738115674
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,2,0.1,0.2,8328,0.13930748062180595,0.14085014409221902,0.0015426634704130693,0.00027852020251913285
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,3,0.2,0.30000000000000004,2561,0.2417666737522367,0.24326434986333464,0.0014976761110979397,8.315191797692942e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,4,0.30000000000000004,0.4,973,0.34022333717106,0.3186022610483042,0.021621076122755822,0.00045607360260674693
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,5,0.4,0.5,357,0.4394926235071615,0.4061624649859944,0.03333015852116711,0.00025795882220947945
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,6,0.5,0.6000000000000001,122,0.5390258716984742,0.48360655737704916,0.055419314321424995,0.00014657697979955013
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,7,0.6000000000000001,0.7000000000000001,33,0.6354733395344571,0.5757575757575758,0.05971576377688126,4.27216208432606e-05
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,8,0.7000000000000001,0.8,3,0.7167782550363012,0.6666666666666666,0.050111588369634585,3.2591489823509824e-06
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,9,0.8,0.9,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,test,10,0.9,1.0,0,,,,0.0
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,1,0.0,0.1,38361,0.05292011407421083,0.05080680899872266,0.002113305075488167,0.0017575063628851122
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,2,0.1,0.2,4959,0.136220971036989,0.16515426497277677,0.02893329393578778,0.0031105470684755477
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,3,0.2,0.30000000000000004,1317,0.24186225806373313,0.2862566438876234,0.04439438582389027,0.0012675310800629455
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,4,0.30000000000000004,0.4,633,0.34395765376823345,0.334913112164297,0.009044541603936473,0.00012411808344986209
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,5,0.4,0.5,357,0.4450213682678172,0.3585434173669468,0.0864779509008704,0.0006692962575413692
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,6,0.5,0.6000000000000001,209,0.5424404606277172,0.3923444976076555,0.15009596302006173,0.0006800801324862424
stage5_lightgbm_smote_gpu,lightgbm,smote,sigmoid,valid,7,0.6000000000000001,0.7000000000000001,134,0.643890605761319,0.4925373134328358,0.15135329232848316,0.00043968480872410393
