model,model_family,strategy,role,calibration_method,split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,raw,valid,0.7667841150712007,0.2568337809249825,0.28399346672111064,0.37352309344790546,0.3226629552308049,0.18,38896,3507,2333,1391
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,raw,test,0.7607654437335503,0.24134325873032253,0.26472945891783567,0.3547261009667025,0.30319026853339454,0.18,38734,3669,2403,1321
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.28763950305327435,0.3668098818474758,0.3224359730909949,0.14,39020,3383,2358,1366
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,sigmoid,test,0.7607654437335503,0.24134325873032253,0.26883278145695366,0.3488184747583244,0.30364656381486677,0.14,38870,3533,2425,1299
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,isotonic,valid,0.7685160802846343,0.2514700301514722,0.28191808191808193,0.3788936627282492,0.32329018215144917,0.16,38809,3594,2313,1411
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,isotonic,test,0.760203505350545,0.23258575186593974,0.26354003139717425,0.3606337271750806,0.30453514739229026,0.16,38650,3753,2381,1343
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,raw,valid,0.7641809727961154,0.2569212584816172,0.29700401037980656,0.33807733619763697,0.31621248273263847,0.19,39423,2980,2465,1259
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,raw,test,0.7575985962325132,0.2423973168272875,0.281048758049678,0.3281417830290011,0.30277502477700696,0.19,39277,3126,2502,1222
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,sigmoid,valid,0.7641809727961154,0.2569212584816172,0.28469980632666236,0.35526315789473684,0.31609126747103095,0.14,39079,3324,2401,1323
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,sigmoid,test,0.7575985962325132,0.2423973168272875,0.27337526205450735,0.3501611170784103,0.3070402637155639,0.14,38937,3466,2420,1304
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,isotonic,valid,0.7657036082833955,0.2510354179330709,0.2905677246312025,0.34908700322234154,0.31715052451817516,0.16,39229,3174,2424,1300
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,isotonic,test,0.7569638436552468,0.23380627995124595,0.2749891821722198,0.3412996777658432,0.3045770428947999,0.16,39052,3351,2453,1271
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,raw,valid,0.7645585484003384,0.25731774941184415,0.24804098854731765,0.44199785177228784,0.31776061776061776,0.15,37413,4990,2078,1646
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,raw,test,0.7592351677587613,0.24512083837943333,0.24386276249630287,0.4428034371643394,0.3145145908830822,0.15,37290,5113,2075,1649
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,sigmoid,valid,0.7645585484003384,0.25731774941184415,0.2572662348447102,0.41595059076262086,0.31790661877886095,0.12,37931,4472,2175,1549
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,sigmoid,test,0.7592351677587613,0.24512083837943333,0.25121319961177613,0.41702470461868957,0.31354734504340803,0.12,37774,4629,2171,1553
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,isotonic,valid,0.7663245490883812,0.2517091948498324,0.2880694143167028,0.35660580021482274,0.3186945044396448,0.16,39121,3282,2396,1328
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,isotonic,test,0.7582319682658288,0.23509613640783242,0.27305414551607443,0.3466702470461869,0.30548982489351634,0.16,38966,3437,2433,1291
