model,model_family,strategy,role,calibration_method,split,roc_auc,pr_auc,brier_score,log_loss,ece,mce,mean_predicted_probability,observed_default_rate
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,raw,valid,0.7667841150712007,0.2568337809249825,0.06713186728079736,0.24326645148865303,0.0042656828921353905,0.7138464478901685,0.08253708907295992,0.08073362672621241
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,raw,test,0.7607654437335503,0.24134325873032253,0.06781641017616567,0.245642803907231,0.0029935805687490175,0.05971576377688126,0.0830038630539693,0.08073362672621241
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,sigmoid,valid,0.7667841150712007,0.2568337809249825,0.06792180246504216,0.247982995600935,0.008748623400726666,0.5237065516353555,0.0807260938298621,0.08073362672621241
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,sigmoid,test,0.7607654437335503,0.24134325873032253,0.06889679946178182,0.25086895205328047,0.010602357254093813,0.35903833551833186,0.08133534205823163,0.08073362672621241
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,isotonic,valid,0.7685160802846343,0.2514700301514722,0.06690412281752925,0.24224795593948656,5.398139910073499e-09,7.383465769339459e-09,0.08073363212435232,0.08073362672621241
stage5_lightgbm_smote_gpu,lightgbm,smote,stage6_5_1_and_10_1_recommended,isotonic,test,0.760203505350545,0.23258575186593974,0.06792059352889791,0.24639864243832374,0.003946922038207337,0.14181215044769602,0.08121914420849378,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,raw,valid,0.7641809727961154,0.2569212584816172,0.06718744832885806,0.24378880768980346,0.0022183707262009144,0.3876618887523556,0.08006813560161678,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,raw,test,0.7575985962325132,0.2423973168272875,0.06784838106804944,0.24625685735166766,0.0015680232797212342,0.05421975387032979,0.08079738069311443,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,sigmoid,valid,0.7641809727961154,0.2569212584816172,0.06793444180707833,0.24840601855541336,0.009354215616774682,0.2488968925020586,0.08071808423553377,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,sigmoid,test,0.7575985962325132,0.2423973168272875,0.06892562817132726,0.2513440954944822,0.009936237527376107,0.34846693822944763,0.08172793871068045,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,isotonic,valid,0.7657036082833955,0.2510354179330709,0.06698482002209812,0.24286855237380398,5.831725455966138e-09,7.723448852692272e-09,0.08073363255793788,0.08073362672621241
stage5_lightgbm_raw_gpu,lightgbm,raw,stage6_20_1_recommended,isotonic,test,0.7569638436552468,0.23380627995124595,0.06794169872827258,0.24712475726163752,0.004011833382550201,0.1928906439693563,0.08153161428419381,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,raw,valid,0.7645585484003384,0.25731774941184415,0.06715979916042544,0.24368827231596132,0.0035145732929394748,0.04790567385183797,0.08064891589159148,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,raw,test,0.7592351677587613,0.24512083837943333,0.06768592427957801,0.24562927712165458,0.001033188629770509,0.05889570713043213,0.081296127302617,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,sigmoid,valid,0.7645585484003384,0.25731774941184415,0.06784469720511155,0.24786133996508444,0.008899594980225415,0.4235076604974721,0.08072458825439643,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,sigmoid,test,0.7592351677587613,0.24512083837943333,0.06864843457374577,0.2502563070073777,0.009930348804262407,0.31147722146840273,0.08155315153523594,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,isotonic,valid,0.7663245490883812,0.2517091948498324,0.0669231606438109,0.24263759462423576,2.1896069595068866e-09,3.0270335127369208e-09,0.08073362891581937,0.08073362672621241
stage5_xgboost_raw_cuda,xgboost,raw,stage5_strong_ranking_baseline,isotonic,test,0.7582319682658288,0.23509613640783242,0.06784425792948334,0.2463320276480717,0.003035917371700822,0.15169102234893694,0.08138339787093739,0.08073362672621241
