model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.08238057254276344,0.9983888292158969,0.15220239069919764,0.01,989,41414,6,3718
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.09114348653249224,0.9777121374865736,0.16674299322220187,0.02,6096,36307,83,3641
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.10345639064568318,0.9444146079484426,0.1864842652244227,0.03,11925,30478,207,3517
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.11616774775399771,0.8993018259935553,0.20575676588947256,0.04,16923,25480,375,3349
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.12859058221265185,0.8498925886143931,0.22338285633623883,0.05,20955,21448,559,3165
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.14139741709636217,0.8026315789473685,0.2404375980372441,0.06,24253,18150,735,2989
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.1534675125793043,0.7534908700322234,0.2549981824790985,0.07,26925,15478,918,2806
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.16589225166394575,0.709452201933405,0.2689058524173028,0.08,29119,13284,1082,2642
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.17663082437275987,0.6616541353383458,0.27882765644449475,0.09,30917,11486,1260,2464
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.18875010204914686,0.6208378088077336,0.2894885118637701,0.1,32466,9937,1412,2312
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.20035247194137834,0.5800214822771214,0.29782833505687695,0.11,33782,8621,1564,2160
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.21071800208116545,0.5437701396348013,0.30373481325933704,0.12,34818,7585,1699,2025
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.22201339128391873,0.5075187969924813,0.30889924000980634,0.13,35780,6623,1834,1890
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.23114387258128208,0.4715359828141783,0.3102199452345199,0.14,36562,5841,1968,1756
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.2453356838548553,0.44844253490870034,0.3171588643053841,0.15,37266,5137,2054,1670
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.2574889507284335,0.4223952738990333,0.31994304891691244,0.16,37867,4536,2151,1573
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.26768781911013856,0.3941997851772288,0.3188531711555169,0.17,38387,4016,2256,1468
