model,encoded_feature,original_feature,encoded_category,feature_family,business_meaning,interpretation_guidance
stage5_lightgbm_raw_gpu,DAYS_BIRTH,DAYS_BIRTH,,age_and_tenure,申请人年龄，通常通过年龄阶段反映生命周期和收入稳定性。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,DAYS_EMPLOYED,DAYS_EMPLOYED,,age_and_tenure,当前工作年限，反映就业稳定性。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,DAYS_ID_PUBLISH,DAYS_ID_PUBLISH,,age_and_tenure,身份证件签发距申请日的时间。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,DAYS_LAST_PHONE_CHANGE,DAYS_LAST_PHONE_CHANGE,,age_and_tenure,最近一次更换电话号码距申请日的时间，可能反映联系方式稳定性。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,DAYS_REGISTRATION,DAYS_REGISTRATION,,age_and_tenure,最近一次变更登记信息距申请日的时间，可能反映居住或身份信息稳定性。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,age_years,age_years,,age_and_tenure,申请人年龄（年）。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,AMT_ANNUITY,AMT_ANNUITY,,amount_and_ratio,贷款年金/分期还款压力。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,annuity_credit_ratio,annuity_credit_ratio,,amount_and_ratio,分期还款额相对授信金额的压力。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,annuity_income_ratio,annuity_income_ratio,,amount_and_ratio,分期还款额相对收入的压力。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
stage5_lightgbm_raw_gpu,credit_income_ratio,credit_income_ratio,,amount_and_ratio,授信金额相对收入的杠杆水平。,SHAP 为正表示该特征在该样本上推高违约风险分数；SHAP 为负表示降低风险分数，不能解释为因果关系。
