column,role,dtype,missing_count,missing_rate,unique_count
ID,id,int64,0,0.0,30000
LIMIT_BAL,feature,int64,0,0.0,81
SEX,feature,int64,0,0.0,2
EDUCATION,feature,int64,0,0.0,7
MARRIAGE,feature,int64,0,0.0,4
AGE,feature,int64,0,0.0,56
PAY_1,feature,int64,0,0.0,11
PAY_2,feature,int64,0,0.0,11
PAY_3,feature,int64,0,0.0,11
PAY_4,feature,int64,0,0.0,11
PAY_5,feature,int64,0,0.0,10
PAY_6,feature,int64,0,0.0,10
BILL_AMT1,feature,int64,0,0.0,22723
BILL_AMT2,feature,int64,0,0.0,22346
BILL_AMT3,feature,int64,0,0.0,22026
BILL_AMT4,feature,int64,0,0.0,21548
BILL_AMT5,feature,int64,0,0.0,21010
BILL_AMT6,feature,int64,0,0.0,20604
PAY_AMT1,feature,int64,0,0.0,7943
PAY_AMT2,feature,int64,0,0.0,7899
PAY_AMT3,feature,int64,0,0.0,7518
PAY_AMT4,feature,int64,0,0.0,6937
PAY_AMT5,feature,int64,0,0.0,6897
PAY_AMT6,feature,int64,0,0.0,6939
default_payment_next_month,target,int64,0,0.0,2
bill_total,feature,int64,0,0.0,27370
bill_to_limit_ratio,feature,float64,0,0.0,28426
payment_total,feature,int64,0,0.0,19180
payment_to_bill_ratio,feature,float64,870,0.029,27650
