,count,mean,std,min,1%,5%,50%,95%,99%,max
ID,30000.0,15000.5,8660.398374208891,1.0,300.99,1500.95,15000.5,28500.05,29700.01,30000.0
LIMIT_BAL,30000.0,167484.32266666667,129747.66156720239,10000.0,10000.0,20000.0,140000.0,430000.0,500000.0,1000000.0
SEX,30000.0,1.6037333333333332,0.48912919609026045,1.0,1.0,1.0,2.0,2.0,2.0,2.0
EDUCATION,30000.0,1.8531333333333333,0.7903486597207291,0.0,1.0,1.0,2.0,3.0,5.0,6.0
MARRIAGE,30000.0,1.5518666666666667,0.5219696006132487,0.0,1.0,1.0,2.0,2.0,3.0,3.0
AGE,30000.0,35.4855,9.217904068090188,21.0,22.0,23.0,34.0,53.0,60.0,79.0
PAY_1,30000.0,-0.0167,1.1238015279973348,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
PAY_2,30000.0,-0.13376666666666667,1.1971859730345533,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
PAY_3,30000.0,-0.1662,1.1968675684465735,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
PAY_4,30000.0,-0.22066666666666668,1.1691386224023375,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
PAY_5,30000.0,-0.2662,1.1331874060027483,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
PAY_6,30000.0,-0.2911,1.1499876256079027,-2.0,-2.0,-2.0,0.0,2.0,3.0,8.0
BILL_AMT1,30000.0,51223.3309,73635.86057552956,-165580.0,-81.0,0.0,22381.5,201203.05,350110.6799999999,964511.0
BILL_AMT2,30000.0,49179.07516666667,71173.76878252835,-69777.0,-200.0,0.0,21200.0,194792.2,337495.27999999997,983931.0
BILL_AMT3,30000.0,47013.1548,69349.38742703684,-157264.0,-200.0,0.0,20088.5,187821.05,325030.38999999897,1664089.0
BILL_AMT4,30000.0,43262.94896666666,64332.85613391631,-170000.0,-212.01999999999998,0.0,19052.0,174333.34999999995,304997.26999999996,891586.0
BILL_AMT5,30000.0,40311.40096666667,60797.15577026487,-81334.0,-232.01,0.0,18104.5,165794.3,285868.32999999996,927171.0
BILL_AMT6,30000.0,38871.7604,59554.10753674573,-339603.0,-331.03,0.0,17071.0,161912.0,279505.05999999965,961664.0
PAY_AMT1,30000.0,5663.5805,16563.280354025766,0.0,0.0,0.0,2100.0,18428.199999999997,66522.17999999854,873552.0
PAY_AMT2,30000.0,5921.1635,23040.870402057237,0.0,0.0,0.0,2009.0,19004.34999999998,76651.01999999999,1684259.0
PAY_AMT3,30000.0,5225.6815,17606.961469803104,0.0,0.0,0.0,1800.0,17589.399999999994,70000.0,896040.0
PAY_AMT4,30000.0,4826.076866666666,15666.159744032007,0.0,0.0,0.0,1500.0,16014.949999999986,67054.43999999961,621000.0
PAY_AMT5,30000.0,4799.387633333334,15278.30567914479,0.0,0.0,0.0,1500.0,16000.0,65607.55999999991,426529.0
PAY_AMT6,30000.0,5215.502566666667,17777.4657754353,0.0,0.0,0.0,1500.0,17343.799999999974,82619.04999999935,528666.0
default_payment_next_month,30000.0,0.2212,0.41506180569093337,0.0,0.0,0.0,0.0,1.0,1.0,1.0
bill_total,30000.0,269861.6712,379564.33116234356,-336259.0,0.0,1167.8500000000001,126311.0,1046422.0499999999,1801729.1599999992,5263883.0
bill_to_limit_ratio,30000.0,2.238287674516087,2.111339628019038,-1.39554,0.0,0.0061196,1.7090041666666667,5.759037999999999,6.290177571428567,32.18585
payment_total,30000.0,31651.392566666666,60827.6779386827,0.0,0.0,220.40000000000055,14383.0,118317.04999999997,270603.9399999998,3764066.0
payment_to_bill_ratio,29130.0,0.39231783394393493,7.784429835693775,-546.9285714285714,0.0,0.028218578393402506,0.09213251330204067,1.1845395726671877,2.7941639682237724,797.0
